TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Bicycle,2009,9,3,16,30,5XX W 12TH AVE,Fairview,491526.360417,5456417.379509999
Theft of Bicycle,2009,9,21,14,0,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
Theft of Bicycle,2009,7,25,13,10,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
Theft of Bicycle,2009,8,11,10,20,5XX W 12TH AVE,Fairview,491526.360417,5456417.379509999
Theft of Bicycle,2009,9,1,16,0,7XX MAIN ST,Strathcona,492751.373261,5458333.78121
Theft of Bicycle,2009,1,16,6,39,38XX W 15TH AVE,West Point Grey,486237.586955,5456258.36203
Theft of Bicycle,2009,11,11,15,48,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
Theft of Bicycle,2009,6,21,17,30,5XX W 12TH AVE,Fairview,491526.360417,5456417.379509999
Theft of Bicycle,2009,5,19,0,0,22XX W 3RD AVE,Kitsilano,488682.31864899996,5457374.1754
Theft of Bicycle,2009,8,18,18,45,19XX CORNWALL AVE,Kitsilano,489173.72148400004,5457763.34789
Theft of Bicycle,2009,5,27,10,0,5XX W 12TH AVE,Fairview,491526.360417,5456417.379509999
Theft of Bicycle,2009,6,20,11,0,38XX W 22ND AVE,Dunbar-Southlands,486152.741787,5455589.62564
Theft of Bicycle,2009,8,10,12,13,19XX DUNBAR ST,Kitsilano,486636.536085,5457344.51115
Theft of Bicycle,2009,4,8,0,30,19XX E 6TH AVE,Grandview-Woodland,495295.77219499997,5456916.489
Theft of Bicycle,2009,7,19,21,0,30XX W 7TH AVE,Kitsilano,487428.812438,5457019.704969999
Theft of Bicycle,2009,8,1,0,0,25XX ONTARIO ST,Mount Pleasant,492363.85369799996,5456681.24099
Theft of Bicycle,2009,6,28,0,15,11XX MAINLAND ST,Central Business District,491198.341567,5458056.5926
Theft of Bicycle,2009,3,30,0,1,22XX W 43RD AVE,Kerrisdale,488362.88843999995,5453341.5876400005
Theft of Bicycle,2009,7,25,12,0,25XX ONTARIO ST,Mount Pleasant,492363.85369799996,5456681.24099
Theft of Bicycle,2009,7,25,2,0,MAIN ST / PRIOR ST,Central Business District,492731.466122,5458227.74438
Theft of Bicycle,2009,7,16,11,30,5XX POWELL ST,Strathcona,493218.101976,5458923.93549
Theft of Bicycle,2009,11,12,22,30,27XX W BROADWAY AVE,Kitsilano,487881.063526,5456818.5772400005
Theft of Bicycle,2009,9,2,23,0,38XX KNIGHT ST,Kensington-Cedar Cottage,494478.41793199995,5455337.740730001
Theft of Bicycle,2009,5,1,7,30,MACDONALD ST / W BROADWAY AVE,Kitsilano,487765.49831899995,5456826.61384
Theft of Bicycle,2009,4,29,17,0,7XX E HASTINGS ST,Strathcona,493604.814029,5458715.12417
Theft of Bicycle,2009,4,6,3,0,14XX E KING EDWARD AVE,Kensington-Cedar Cottage,494610.807407,5455088.2652199995
Theft of Bicycle,2009,7,26,3,0,14XX PENNYFARTHING DR,Fairview,489676.125875,5457753.09432
Theft of Bicycle,2009,6,20,15,0,16XX JOHNSTON ST,Fairview,490171.84064799995,5457693.93987
Theft of Bicycle,2009,5,14,20,0,BEACH AVE / HORNBY ST,Central Business District,490343.322301,5458075.4802
Theft of Bicycle,2009,5,17,13,0,7XX E HASTINGS ST,Strathcona,493496.79146899993,5458711.11484
Theft of Bicycle,2009,7,25,20,0,10XX HARWOOD ST,West End,490416.12305200007,5458369.34339
Theft of Bicycle,2009,8,11,18,15,7XX HAMILTON ST,Central Business District,491587.110733,5458474.38704
Theft of Bicycle,2009,12,26,14,0,E 15TH AVE / FRASER ST,Mount Pleasant,493491.828099,5456047.97127
Theft of Bicycle,2009,7,10,19,0,7XX EXPO BLVD,Central Business District,491849.49376499996,5458342.038430001
Theft of Bicycle,2009,2,23,8,30,38XX W 4TH AVE,West Point Grey,486191.785767,5457351.96912
Theft of Bicycle,2009,1,12,18,0,22XX W 3RD AVE,Kitsilano,488628.53413000004,5457375.5154
Theft of Bicycle,2009,7,4,11,0,23XX CHARLES ST,Grandview-Woodland,495869.56578999996,5457802.9892
Theft of Bicycle,2009,6,27,15,30,38XX ONTARIO ST,Riley Park,492367.262667,5455290.26638
Theft of Bicycle,2009,8,18,15,35,7XX HAMILTON ST,Central Business District,491619.28443199996,5458518.91529
Theft of Bicycle,2009,8,28,10,15,2X W PENDER ST,Central Business District,492327.57972700003,5458669.755530001
Theft of Bicycle,2009,11,7,17,0,14XX MCLEAN DR,Grandview-Woodland,494586.680555,5457694.1879199995
Theft of Bicycle,2009,7,22,21,10,19XX BEACH AVE,West End,489599.43561800005,5459550.17688
Theft of Bicycle,2009,5,6,22,0,19XX ROBSON ST,West End,490006.33867200004,5460017.4453
Theft of Bicycle,2009,8,21,22,0,22XX YORK AVE,Kitsilano,488693.12981,5457675.75714
Theft of Bicycle,2009,11,20,18,0,38XX MAIN ST,Riley Park,492645.352129,5455319.63325
Theft of Bicycle,2009,6,19,16,45,E 2ND AVE / SCOTIA ST,Mount Pleasant,492855.807803,5457224.2771
Theft of Bicycle,2009,8,21,0,0,22XX W 3RD AVE,Kitsilano,488571.81356000004,5457386.0754
Theft of Bicycle,2009,8,3,13,15,7XX GORE AVE,Strathcona,492941.772044,5458336.523990001
Theft of Bicycle,2009,10,31,0,0,7XX MILLYARD ST,Fairview,491215.99548599997,5457125.63348
Theft of Bicycle,2009,10,23,8,0,3X SMITHE ST,Central Business District,491810.03295600007,5457989.3413
Theft of Bicycle,2009,6,9,0,0,38XX W 19TH AVE,Dunbar-Southlands,486292.810388,5455879.55471
Theft of Bicycle,2009,8,17,22,30,5XX PACIFIC ST,Central Business District,490732.141662,5457908.74066
Theft of Bicycle,2009,4,21,22,0,3XX ABBOTT ST,Central Business District,492230.723257,5458888.49878
Theft of Bicycle,2009,5,12,16,45,MAIN ST / TERMINAL AVE,Mount Pleasant,492718.24501099996,5457784.57971
Theft of Bicycle,2009,8,22,18,0,9XX BURRARD ST,Central Business District,490952.140973,5458832.4370099995
Theft of Bicycle,2009,5,31,13,0,14XX LABURNUM ST,Kitsilano,488991.69595200004,5457822.508719999
Theft of Bicycle,2009,8,26,21,0,37XX W 22ND AVE,Dunbar-Southlands,486415.242488,5455587.415569999
Theft of Bicycle,2009,9,10,8,45,39XX W 16TH AVE,West Point Grey,486008.17848299997,5456173.85654
Theft of Bicycle,2009,5,10,0,0,12XX ROBSON ST,West End,490684.597961,5459330.70368
Theft of Bicycle,2009,4,26,6,5,7XX E 11TH AVE,Mount Pleasant,493561.255979,5456426.884190001
Theft of Bicycle,2009,5,29,13,50,22XX W BROADWAY AVE,Kitsilano,488608.26632399997,5456807.37465
Theft of Bicycle,2009,8,29,1,31,E 41ST AVE / VICTORIA DR,Victoria-Fraserview,495229.760563,5453325.74752
Theft of Bicycle,2009,7,9,10,30,MAIN ST / TERMINAL AVE,Mount Pleasant,492718.24501099996,5457784.57971
Theft of Bicycle,2009,1,19,0,0,5XX W 7TH AVE,Fairview,491616.60413100006,5456923.65168
Theft of Bicycle,2009,8,21,22,25,9XX BURRARD ST,Central Business District,490952.140973,5458832.4370099995
Theft of Bicycle,2009,7,8,23,0,5XX W 7TH AVE,Fairview,491616.60413100006,5456923.65168
Theft of Bicycle,2009,8,16,20,0,7XX PRINCESS AVE,Strathcona,493340.747407,5458377.00423
Theft of Bicycle,2009,7,10,17,0,7XX HORNBY ST,Central Business District,491207.51243199996,5458941.24088
Theft of Bicycle,2009,4,11,16,0,5XX N PENTICTON ST,Hastings-Sunrise,496216.463724,5459704.46146
Theft of Bicycle,2009,8,6,9,15,9XX BURRARD ST,Central Business District,490952.140973,5458832.4370099995
Theft of Bicycle,2009,5,20,13,0,22XX W 5TH AVE,Kitsilano,488686.03352600004,5457186.75915
Theft of Bicycle,2009,7,28,9,0,5XX W 8TH AVE,Fairview,491476.996633,5456824.88957
Theft of Bicycle,2009,6,17,21,0,7XX HORNBY ST,Central Business District,491207.51243199996,5458941.24088
Theft of Bicycle,2009,8,4,7,30,10XX HOMER ST,Central Business District,491262.41363900003,5458285.8354400005
Theft of Bicycle,2009,9,24,14,30,39XX W 16TH AVE,West Point Grey,486008.17848299997,5456173.85654
Theft of Bicycle,2009,12,24,17,0,19XX W 15TH AVE,Kitsilano,489135.54381899995,5456159.04697
Theft of Bicycle,2009,9,5,14,45,18XX W 8TH AVE,Kitsilano,489281.149512,5456883.59613
Theft of Bicycle,2009,7,11,18,30,7XX HORNBY ST,Central Business District,491263.289504,5458997.96796
Theft of Bicycle,2009,12,4,6,45,2XX W PENDER ST,Central Business District,491958.86332700006,5458790.556580001
Theft of Bicycle,2009,8,20,15,0,2XX W BROADWAY AVE,Mount Pleasant,492007.263967,5456708.2115400005
Theft of Bicycle,2009,7,11,2,30,7XX JACKSON AVE,Strathcona,493199.86991199997,5458398.22986
Theft of Bicycle,2009,6,15,11,47,5XX PACIFIC ST,Central Business District,490685.878717,5457925.576859999
Theft of Bicycle,2009,7,4,11,0,18XX W 7TH AVE,Kitsilano,489273.827276,5456984.75646
Theft of Bicycle,2009,7,1,23,59,BURRARD ST / DAVIE ST,West End,490604.148463,5458488.32844
Theft of Bicycle,2009,8,4,18,0,MAIN ST / TERMINAL AVE,Mount Pleasant,492718.24501099996,5457784.57971
Theft of Bicycle,2009,8,6,11,0,12XX ROBSON ST,West End,490739.48195,5459288.79754
Theft of Bicycle,2009,8,25,5,6,7XX E 14TH AVE,Mount Pleasant,493552.44091000006,5456129.14338
Theft of Bicycle,2009,5,27,22,0,39XX PRINCE ALBERT ST,Kensington-Cedar Cottage,493618.36464399996,5455224.6467699995
Theft of Bicycle,2009,7,9,13,0,16XX PENDRELL ST,West End,489916.531971,5459322.02359
Theft of Bicycle,2009,7,21,22,0,12XX ROBSON ST,West End,490684.744854,5459343.482340001
Theft of Bicycle,2009,11,22,8,0,18XX W 7TH AVE,Kitsilano,489356.05253199994,5456981.990019999
Theft of Bicycle,2009,7,5,10,55,COMMERCIAL DR / FRANCES ST,Grandview-Woodland,494875.882453,5458516.25067
Theft of Bicycle,2009,11,1,1,0,19XX HARO ST,West End,489875.67884899996,5459979.51159
Theft of Bicycle,2009,8,18,22,0,37XX MAIN ST,Riley Park,492649.394702,5455442.0915
Theft of Bicycle,2009,5,23,17,0,37XX W 10TH AVE,West Point Grey,486434.72091599996,5456769.39659
Theft of Bicycle,2009,10,9,15,0,5XX W 6TH AVE,Fairview,491644.655267,5456996.3615
Theft of Bicycle,2009,10,31,13,0,31XX W 15TH AVE,Kitsilano,487320.713179,5456230.78941
Theft of Bicycle,2009,11,6,13,0,2XX W PENDER ST,Central Business District,491958.86332700006,5458790.556580001
Theft of Bicycle,2009,6,10,18,0,37XX W 11TH AVE,West Point Grey,486404.20736400003,5456665.60336
Theft of Bicycle,2009,9,13,13,30,3X W CORDOVA ST,Central Business District,492345.598368,5458874.94772
Theft of Bicycle,2009,7,24,22,0,37XX W 12TH AVE,West Point Grey,486404.019901,5456568.16375
Theft of Bicycle,2009,10,4,19,30,BURRARD ST / SMITHE ST,West End,490950.962404,5458837.64618
Theft of Bicycle,2009,4,17,20,0,9XX BEATTY ST,Central Business District,491562.892734,5458167.620180001
Theft of Bicycle,2009,9,11,9,30,5XX SEYMOUR ST,Central Business District,491687.72455600003,5458995.28369
Theft of Bicycle,2009,7,13,12,0,18XX W BROADWAY AVE,Kitsilano,489361.07648100005,5456777.53537
Theft of Bicycle,2009,3,4,14,32,3XX ALEXANDER ST,Strathcona,492927.86881099996,5459033.65706
Theft of Bicycle,2009,12,1,6,0,13XX DAVIE ST,West End,490163.86639700003,5458934.39979
Theft of Bicycle,2009,7,30,20,0,7XX JERVIS ST,West End,490718.451274,5459444.00543
Theft of Bicycle,2009,12,27,1,0,13XX COMMERCIAL DR,Grandview-Woodland,494942.245594,5457771.20362
Theft of Bicycle,2009,7,12,7,0,13XX DISCOVERY ST,West Point Grey,485255.42999499995,5458013.37091
Theft of Bicycle,2009,8,26,11,0,18XX W BROADWAY AVE,Kitsilano,489281.65363500005,5456788.8981099995
Theft of Bicycle,2009,9,11,6,30,2XX W PENDER ST,Central Business District,491958.86332700006,5458790.556580001
Theft of Bicycle,2009,8,17,0,0,12XX BROUGHTON ST,West End,490022.28801899997,5458931.739519999
Theft of Bicycle,2009,4,3,18,15,5XX PACIFIC ST,Central Business District,490732.141662,5457908.74066
Theft of Bicycle,2009,7,29,20,30,BURRARD ST / DAVIE ST,West End,490604.148463,5458488.32844
Theft of Bicycle,2009,7,2,23,59,E 12TH AVE / FRASER ST,Mount Pleasant,493510.698496,5456333.779180001
Theft of Bicycle,2009,4,14,8,14,37XX W 8TH AVE,West Point Grey,486447.899488,5456955.24599
Theft of Bicycle,2009,8,31,8,0,2XX W PENDER ST,Central Business District,491958.86332700006,5458790.556580001
Theft of Bicycle,2009,12,25,0,0,22XX W 5TH AVE,Kitsilano,488591.016863,5457180.744080001
Theft of Bicycle,2009,7,24,19,20,7XX E 38TH AVE,Kensington-Cedar Cottage,493499.84120600007,5453655.79106
Theft of Bicycle,2009,3,30,22,0,9XX BEATTY ST,Central Business District,491582.707576,5458200.161780001
Theft of Bicycle,2009,5,30,21,0,5XX PACIFIC ST,Central Business District,490732.141662,5457908.74066
Theft of Bicycle,2009,4,26,15,30,10XX BEACH AVE,West End,490197.47849799995,5458239.42115
Theft of Bicycle,2009,6,13,0,0,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Theft of Bicycle,2009,9,2,19,0,7XX DUNSMUIR ST,Central Business District,491485.389051,5459049.95175
Theft of Bicycle,2009,12,31,11,0,19XX TURNER ST,Grandview-Woodland,495318.898601,5458494.19575
Theft of Bicycle,2009,9,7,14,45,E 48TH AVE / FRASER ST,Sunset,493394.421441,5452641.96965
Theft of Bicycle,2009,3,28,18,0,39XX W 13TH AVE,West Point Grey,486016.399029,5456466.86659
Theft of Bicycle,2009,8,14,22,0,12XX BROUGHTON ST,West End,490022.28801899997,5458931.739519999
Theft of Bicycle,2009,8,16,17,0,5XX PACIFIC ST,Central Business District,490732.141662,5457908.74066
Theft of Bicycle,2009,4,3,12,30,TAYLOR ST / W PENDER ST,Central Business District,492319.99825500004,5458667.07272
Theft of Bicycle,2009,8,5,20,30,2XX ABBOTT ST,Central Business District,492264.681668,5459017.07361
Theft of Bicycle,2009,7,15,8,0,3X WATER ST,Central Business District,492359.173476,5458989.713769999
Theft of Bicycle,2009,7,16,20,0,E 41ST AVE / JOYCE ST,Renfrew-Collingwood,497341.975462,5453425.27637
Theft of Bicycle,2009,7,15,22,30,BURRARD ST / DAVIE ST,West End,490604.148463,5458488.32844
Theft of Bicycle,2009,9,3,17,0,22XX W 10TH AVE,Kitsilano,488596.107459,5456691.08469
Theft of Bicycle,2009,2,14,13,30,31XX W 26TH AVE,Dunbar-Southlands,487226.551985,5455144.93542
Theft of Bicycle,2009,7,10,21,0,9XX BURRARD ST,Central Business District,490952.140973,5458832.4370099995
Theft of Bicycle,2009,6,16,16,0,10XX HARO ST,West End,490899.22726,5458973.86467
Theft of Bicycle,2009,2,14,16,15,9XX BURRARD ST,Central Business District,490952.140973,5458832.4370099995
Theft of Bicycle,2009,7,11,13,20,11XX MARINASIDE CRES,Central Business District,491323.751986,5457845.1048099995
Theft of Bicycle,2009,10,29,22,0,39XX W 11TH AVE,West Point Grey,485941.330325,5456667.6249400005
Theft of Bicycle,2009,9,21,13,0,2XX W PENDER ST,Central Business District,491958.86332700006,5458790.556580001
Theft of Bicycle,2009,2,14,15,45,9XX BURRARD ST,Central Business District,490952.140973,5458832.4370099995
Theft of Bicycle,2009,9,13,17,30,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Theft of Bicycle,2009,7,8,22,0,7XX DUNSMUIR ST,Central Business District,491528.79028500005,5458993.56661
Theft of Bicycle,2009,6,19,23,59,5XX W 8TH AVE,Fairview,491594.347901,5456820.418819999
Theft of Bicycle,2010,2,1,0,0,33XX W 4TH AVE,Kitsilano,487022.888417,5457325.75808
Theft of Bicycle,2010,10,23,15,30,14XX ANDERSON ST,Fairview,490173.237353,5457687.324080001
Theft of Bicycle,2010,5,7,8,30,10XX W GEORGIA ST,Central Business District,491115.752032,5459163.17794
Theft of Bicycle,2010,10,13,21,10,10XX MARINASIDE CRES,Central Business District,491356.942024,5457863.49514
Theft of Bicycle,2010,8,18,11,30,33XX FRASER ST,Kensington-Cedar Cottage,493461.064178,5455843.15384
Theft of Bicycle,2010,7,6,8,0,10XX BURRARD ST,West End,490729.82914700004,5458622.34167
Theft of Bicycle,2010,10,13,0,0,8XX GRANVILLE ST,Central Business District,491283.37573,5458732.83179
Theft of Bicycle,2010,3,28,15,34,9XX BEATTY ST,Central Business District,491562.892734,5458167.620180001
Theft of Bicycle,2010,1,20,0,0,3XX E 20TH AVE,Riley Park,492944.18516800005,5455581.9347
Theft of Bicycle,2010,9,27,13,0,39XX W 14TH AVE,West Point Grey,486071.340335,5456373.83755
Theft of Bicycle,2010,10,30,18,0,15XX E 6TH AVE,Grandview-Woodland,494779.62346000003,5456933.76985
Theft of Bicycle,2010,3,23,15,32,15XX E 5TH AVE,Grandview-Woodland,494732.59065100003,5457025.486269999
Theft of Bicycle,2010,9,14,18,5,10XX BURRARD ST,West End,490729.82914700004,5458622.34167
Theft of Bicycle,2010,2,1,17,0,33XX W 4TH AVE,Kitsilano,487022.888417,5457325.75808
Theft of Bicycle,2010,7,28,13,0,9XX W CORDOVA ST,Central Business District,491635.44231199997,5459398.26182
Theft of Bicycle,2010,5,21,23,0,3XX WATER ST,Central Business District,492076.92459899996,5459065.57368
Theft of Bicycle,2010,5,28,22,0,30XX W 16TH AVE,Kitsilano,487358.622232,5456137.18523
Theft of Bicycle,2010,8,17,15,15,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Theft of Bicycle,2010,7,15,18,0,33XX EAST BLVD,Shaughnessy,488906.51886300003,5455910.27927
Theft of Bicycle,2010,7,20,22,0,9XX MAIN ST,Central Business District,492726.15827799996,5458199.64743
Theft of Bicycle,2010,6,5,0,0,39XX W 13TH AVE,West Point Grey,486065.973533,5456474.73769
Theft of Bicycle,2010,10,19,22,52,10XX HOMER ST,Central Business District,491262.41363900003,5458285.8354400005
Theft of Bicycle,2010,8,2,4,34,10XX W GEORGIA ST,Central Business District,491115.752032,5459163.17794
Theft of Bicycle,2010,7,28,16,0,ALBERTA ST / W 2ND AVE,Mount Pleasant,491945.30403299996,5457326.15556
Theft of Bicycle,2010,8,24,16,30,8XX W HASTINGS ST,Central Business District,491640.569718,5459253.35535
Theft of Bicycle,2010,9,19,15,30,14XX ANDERSON ST,Fairview,490173.237353,5457687.324080001
Theft of Bicycle,2010,5,15,23,0,9XX MAIN ST,Central Business District,492726.15827799996,5458199.64743
Theft of Bicycle,2010,9,3,23,30,3XX E 20TH AVE,Riley Park,492886.539731,5455574.25581
Theft of Bicycle,2010,3,22,2,0,33XX W 4TH AVE,Kitsilano,487065.822087,5457315.4080300005
Theft of Bicycle,2010,9,3,20,0,3X DUNLEVY AVE,Strathcona,493068.837182,5459151.49126
Theft of Bicycle,2010,8,17,10,0,14XX ANDERSON ST,Fairview,490173.237353,5457687.324080001
Theft of Bicycle,2010,10,2,10,0,14XX ANDERSON ST,Fairview,490173.237353,5457687.324080001
Theft of Bicycle,2010,4,30,13,50,CAMBIE ST / W 7TH AVE,Fairview,491643.105684,5456918.36555
Theft of Bicycle,2010,10,21,10,30,8XX W HASTINGS ST,Central Business District,491630.211805,5459263.72613
Theft of Bicycle,2010,2,1,22,0,33XX W 4TH AVE,Kitsilano,487022.888417,5457325.75808
Theft of Bicycle,2010,5,8,15,5,12XX JERVIS ST,West End,490179.74959300004,5458889.74965
Theft of Bicycle,2010,12,2,12,0,26XX W 6TH AVE,Kitsilano,487936.67103,5457101.71565
Theft of Bicycle,2010,5,29,17,0,41XX MAIN ST,Riley Park,492648.71477200004,5455111.448340001
Theft of Bicycle,2010,8,6,12,0,8XX HOMER ST,Central Business District,491397.707594,5458435.42297
Theft of Bicycle,2010,3,30,15,0,26XX GLEN DR,Mount Pleasant,494080.97596099996,5456490.80177
Theft of Bicycle,2010,10,17,15,30,14XX ANDERSON ST,Fairview,490173.237353,5457687.324080001
Theft of Bicycle,2010,7,30,16,0,ABBOTT ST / PACIFIC BLVD,Central Business District,492167.97045100003,5458269.65128
Theft of Bicycle,2010,3,19,13,30,HAMILTON ST / ROBSON ST,Central Business District,491566.372533,5458460.37641
Theft of Bicycle,2010,10,1,19,0,HAMILTON ST / ROBSON ST,Central Business District,491566.372533,5458460.37641
Theft of Bicycle,2010,6,28,15,30,10XX MAINLAND ST,Central Business District,491341.867279,5458203.67399
Theft of Bicycle,2010,9,5,16,30,14XX ANDERSON ST,Fairview,490173.237353,5457687.324080001
Theft of Bicycle,2010,1,1,0,0,20XX LARCH ST,Kitsilano,488189.869982,5457224.3318
Theft of Bicycle,2010,11,2,15,30,8XX W BROADWAY AVE,Fairview,491122.173871,5456740.412269999
Theft of Bicycle,2010,8,29,15,0,14XX ANDERSON ST,Fairview,490173.237353,5457687.324080001
Theft of Bicycle,2010,7,8,18,30,12XX HOWE ST,Central Business District,490735.288505,5458339.46516
Theft of Bicycle,2010,4,3,13,30,10XX BURRARD ST,Central Business District,490832.794155,5458716.14061
Theft of Bicycle,2010,5,31,18,47,15XX E PENDER ST,Grandview-Woodland,494624.122831,5458616.75567
Theft of Bicycle,2010,10,15,12,0,12XX JERVIS ST,West End,490174.84401999996,5458897.7319
Theft of Bicycle,2010,7,29,2,0,15XX HARO ST,West End,490377.42139300006,5459492.378169999
Theft of Bicycle,2010,5,5,8,30,39XX W 16TH AVE,West Point Grey,486008.17848299997,5456173.85654
Theft of Bicycle,2010,3,22,7,30,10XX BURRARD ST,West End,490729.82914700004,5458622.34167
Theft of Bicycle,2010,11,12,17,45,22XX W 4TH AVE,Kitsilano,488704.91151000006,5457272.91234
Theft of Bicycle,2010,9,25,23,0,MACDONALD ST / W BROADWAY AVE,Kitsilano,487765.49831899995,5456826.61384
Theft of Bicycle,2010,6,16,9,0,BURRARD ST / PACIFIC ST,West End,490364.778089,5458256.92906
Theft of Bicycle,2010,6,27,15,30,MACDONALD ST / W BROADWAY AVE,Kitsilano,487765.49831899995,5456826.61384
Theft of Bicycle,2010,9,10,20,15,RICHARDS ST / W HASTINGS ST,Central Business District,491861.38471300004,5459038.69873
Theft of Bicycle,2010,9,9,9,5,15XX HARO ST,West End,490386.355663,5459483.22617
Theft of Bicycle,2010,7,29,17,15,40XX W 11TH AVE,West Point Grey,485870.183358,5456678.67172
Theft of Bicycle,2010,9,18,15,54,HAMILTON ST / W GEORGIA ST,Central Business District,491689.963455,5458582.12046
Theft of Bicycle,2010,6,23,20,0,MACDONALD ST / W BROADWAY AVE,Kitsilano,487765.49831899995,5456826.61384
Theft of Bicycle,2010,6,9,19,30,9XX MAINLAND ST,Central Business District,491438.865886,5458327.54895
Theft of Bicycle,2010,11,15,19,0,33XX RUPERT ST,Renfrew-Collingwood,497549.031113,5455719.07789
Theft of Bicycle,2010,8,8,12,5,10XX DENMAN ST,West End,489814.76047,5459522.91388
Theft of Bicycle,2010,8,13,23,0,9XX MAINLAND ST,Central Business District,491438.865886,5458327.54895
Theft of Bicycle,2010,8,18,17,0,20XX TRAFALGAR ST,Kitsilano,488024.989961,5457263.88292
Theft of Bicycle,2010,9,15,14,0,12XX W BROADWAY AVE,Fairview,490433.551453,5456750.6846199995
Theft of Bicycle,2010,10,24,17,0,3XX E 33RD AVE,Riley Park,492831.871221,5454195.6433
Theft of Bicycle,2010,9,17,13,0,RICHARDS ST / W HASTINGS ST,Central Business District,491861.38471300004,5459038.69873
Theft of Bicycle,2010,8,19,12,0,10XX MARINASIDE CRES,Central Business District,491441.61439700006,5457869.49977
Theft of Bicycle,2010,7,17,0,5,9XX W 7TH AVE,Fairview,490935.69273,5456941.40421
Theft of Bicycle,2010,8,10,19,0,20XX SCOTIA ST,Mount Pleasant,492816.842606,5457121.8997599995
Theft of Bicycle,2010,4,17,20,15,CAMBIE ST / W 7TH AVE,Fairview,491643.105684,5456918.36555
Theft of Bicycle,2010,8,15,20,30,10XX DAVIE ST,West End,490556.63744200004,5458541.59861
Theft of Bicycle,2010,6,25,7,0,30XX PRINCE EDWARD ST,Mount Pleasant,492987.489626,5456100.73398
Theft of Bicycle,2010,2,14,21,10,9XX MAINLAND ST,Central Business District,491371.173553,5458249.1216
Theft of Bicycle,2010,5,4,21,0,10XX HORNBY ST,Central Business District,490834.196292,5458565.98213
Theft of Bicycle,2010,10,14,13,0,MACDONALD ST / W BROADWAY AVE,Kitsilano,487765.49831899995,5456826.61384
Theft of Bicycle,2010,9,12,17,3,12XX SEYMOUR ST,Central Business District,490891.59160299995,5458192.42296
Theft of Bicycle,2010,7,11,22,30,9XX THURLOW ST,West End,490754.952495,5458941.373430001
Theft of Bicycle,2010,5,31,17,0,24XX W 33RD AVE,Arbutus Ridge,488243.240312,5454392.420530001
Theft of Bicycle,2010,4,27,21,0,9XX MAINLAND ST,Central Business District,491371.173553,5458249.1216
Theft of Bicycle,2010,5,29,21,0,9XX MAINLAND ST,Central Business District,491414.432556,5458296.86734
Theft of Bicycle,2010,2,24,2,0,8XX HAMILTON ST,Central Business District,491524.390185,5458410.40025
Theft of Bicycle,2010,3,3,12,0,CAMBIE ST / W 41ST AVE,Oakridge,491528.407733,5453418.28826
Theft of Bicycle,2010,6,25,11,55,10XX HORNBY ST,Central Business District,490900.73107200005,5458647.1341
Theft of Bicycle,2010,8,21,19,0,HARO ST / JERVIS ST,West End,490577.362113,5459291.08455
Theft of Bicycle,2010,7,24,8,40,12XX HOWE ST,Central Business District,490746.023136,5458337.27545
Theft of Bicycle,2010,4,29,19,15,CAMBIE ST / W 7TH AVE,Fairview,491643.105684,5456918.36555
Theft of Bicycle,2010,6,25,16,30,33XX POINT GREY RD,Kitsilano,487003.189022,5457666.22861
Theft of Bicycle,2010,8,20,21,15,12XX W BROADWAY AVE,Fairview,490433.551453,5456750.6846199995
Theft of Bicycle,2010,9,10,21,0,15XX HARWOOD ST,West End,489802.671525,5458979.36179
Theft of Bicycle,2010,3,15,18,0,40XX W 28TH AVE,Dunbar-Southlands,485838.079261,5454945.8368
Theft of Bicycle,2010,9,4,12,0,20XX NELSON ST,West End,489639.83805200004,5459905.08311
Theft of Bicycle,2010,8,2,8,0,9XX BEATTY ST,Central Business District,491495.863177,5458113.99456
Theft of Bicycle,2010,8,22,18,15,13XX ARBUTUS ST,Kitsilano,488900.467457,5457971.35491
Theft of Bicycle,2010,8,15,15,0,20XX NELSON ST,West End,489639.83805200004,5459905.08311
Theft of Bicycle,2010,8,14,18,30,15XX HARWOOD ST,West End,489811.638456,5458957.74656
Theft of Bicycle,2010,6,25,21,30,BUTE ST / DAVIE ST,West End,490301.401546,5458792.1619
Theft of Bicycle,2010,7,28,17,10,KINGSWAY AVE / KNIGHT ST,Kensington-Cedar Cottage,494460.094008,5455267.252
Theft of Bicycle,2010,9,11,23,0,9XX MAIN ST,Central Business District,492726.15827799996,5458199.64743
Theft of Bicycle,2010,9,2,20,30,KINGSWAY AVE / KNIGHT ST,Kensington-Cedar Cottage,494460.094008,5455267.252
Theft of Bicycle,2010,2,7,19,0,8XX HELMCKEN ST,Central Business District,490856.176124,5458475.07926
Theft of Bicycle,2010,7,17,11,30,26XX ARBUTUS ST,Kitsilano,488874.55721999996,5456683.53271
Theft of Bicycle,2010,10,4,22,30,40XX W 35TH AVE,Dunbar-Southlands,485841.26255600003,5454208.87569
